timestamp,method,event,user,confidence,second_best_user,second_best_score,reason,detail
2026-06-25 01:06:42,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 63165)"
2026-06-25 01:06:54,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 63168)"
2026-06-25 01:07:06,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 63169)"
2026-06-25 01:07:30,face,DENIED,junaid,0.3067,abd,0.1855,score 0.3067 below threshold 0.75,0.0,0.0,auto
2026-06-25 01:07:44,face,DENIED,junaid,0.4119,abd,0.1738,score 0.4119 below threshold 0.75,0.0,0.0,auto
2026-06-25 01:07:52,face,GRANTED,abd,0.9553,faizy,0.7042,ok,0.0,0.0,auto
2026-06-25 01:08:23,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 50613)"
2026-06-25 01:08:31,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 50614)"
2026-06-25 01:08:47,voice,DELETED,ava,0.0,,0.0,,0.0,0.0,
2026-06-25 01:08:54,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52379)"
2026-06-25 01:08:57,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52380)"
2026-06-25 01:09:06,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52381)"
2026-06-25 01:09:09,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52382)"
2026-06-25 01:09:11,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52383)"
2026-06-25 01:09:16,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52384)"
2026-06-25 01:09:17,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52381)"
2026-06-25 01:09:17,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 50615)"
2026-06-25 01:09:17,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 63164)"
2026-06-25 01:09:17,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52379)"
2026-06-25 01:09:17,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52380)"
2026-06-25 01:09:17,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 50618)"
2026-06-25 01:09:17,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52382)"
2026-06-25 01:09:17,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52383)"
2026-06-25 01:09:18,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52384)"
2026-06-25 01:09:20,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52387)"
2026-06-25 01:09:53,face,GRANTED,abd,0.9379,faizy,0.6106,ok,0.0,0.0,auto
2026-06-25 01:09:59,voice,AUTO_VERIFY_SKIPPED,,0.0,,0.0,no_speakers,6.0,0.0,
2026-06-25 01:10:01,face,DENIED,abd,0.6893,junaid,0.6337,score 0.6893 below threshold 0.75,0.0,0.0,auto
2026-06-25 01:10:03,voice,AUTO_VERIFY_SKIPPED,,0.0,,0.0,no_speakers,2.24,0.0,
2026-06-25 01:10:13,face,DELETED,abd,0.0,,0.0,,0.0,0.0,
2026-06-25 01:10:25,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52388)"
2026-06-25 01:10:34,face,DENIED,faizy,0.7483,junaid,0.5591,score 0.7483 below threshold 0.75,0.0,0.0,auto
2026-06-25 01:10:35,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52389)"
2026-06-25 01:10:47,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52390)"
2026-06-25 01:11:00,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52391)"
2026-06-25 01:11:06,voice,AUTO_VERIFY_SKIPPED,,0.0,,0.0,no_speakers,3.1,0.0,
2026-06-25 01:11:06,face,DENIED,junaid,0.5382,faizy,0.1127,score 0.5382 below threshold 0.75,0.0,0.0,auto
2026-06-25 01:11:11,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52392)"
2026-06-25 01:11:18,face,DENIED,faizy,0.6143,junaid,0.524,score 0.6143 below threshold 0.75,0.0,0.0,auto
2026-06-25 01:11:22,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52393)"
2026-06-25 01:11:29,face,DENIED,faizy,0.6073,junaid,0.5389,score 0.6073 below threshold 0.75,0.0,0.0,auto
2026-06-25 01:11:34,voice,ENROLLED,ava,0.0,,0.0,,10.0,7431.6,
